Name 	 Score 	 Formula 																										
angular frequency 	0	 {\displaystyle \mathrm {Ro} ={fL^{2} \over \nu }} 																										
angular frequency 	0	 {\displaystyle \psi (t)\approx e^{-\omega ^{\prime \prime }t}\cos \omega ^{\prime }t} 																										
angular frequency 	0	 {\displaystyle c=f\lambda } 																										
angular frequency 	0	 {\displaystyle \lambda =c/\nu } 																										
angular frequency 	0	 {\displaystyle \sigma =1/\lambda } 																										
angular frequency 	0	 {\displaystyle \sigma =\nu /c} 																										
angular frequency 	0	 {\displaystyle {\mathit {Sr}}={\frac {fl}{v}}} 																										
angular frequency 	0	 {\displaystyle \omega =2\pi f} 																										
angular frequency 	0	 {\displaystyle Q_{\mathrm {p} }=h\nu } 																										
angular frequency 	0	 {\displaystyle {\tilde {\nu }}=\nu /c_{0}} 																										
angular frequency 	0	 {\displaystyle \lambda _{0}=c_{0}/\nu } 																										
angular frequency 	0	 {\displaystyle N_{\mathrm {p} }={\frac {Q_{\mathrm {e} }}{h\nu }}} 																										
angular frequency 	0	 {\displaystyle G=\log _{2}{\frac {f_{2}}{f_{1}}}\mathrm {oct} =\log _{10}{\frac {f_{2}}{f_{1}}}\mathrm {dec} } 																										
angular frequency 	0	 {\displaystyle L_{\mathrm {e} ,\nu }={\frac {\mathrm {d} L_{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle E_{\mathrm {e} ,\nu }={\frac {\mathrm {d} E_{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle H_{\mathrm {e} ,\nu }={\frac {\mathrm {d} H_{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle w_{\nu }={\frac {\mathrm {d} w}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle \Phi _{\mathrm {e} ,\nu }={\frac {\mathrm {d} \Phi _{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle I_{\mathrm {e} ,\nu }={\frac {\mathrm {d} I_{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle M_{\mathrm {e} ,\nu }={\frac {\mathrm {d} M_{\mathrm {e} }}{\mathrm {d} \nu }}} 																										
angular frequency 	0	 {\displaystyle {\mathit {Stk}}_{1}={\frac {\nu }{d^{2}f}}} 																										
centripetal acceleration 	2	 {\displaystyle a_{c}={\frac {v^{2}}{r}}} 																										
conservation of energy 	0	 {\displaystyle {\text{DJIA}}={\sum p \over d}} 																										
conservation of energy 	0	 {\displaystyle S=\bigcup _{i\in I}U_{i}} 																										
conservation of energy 	0	 {\displaystyle {\begin{array}{llllll}\mathrm {H_{2}O_{2}} &amp	+\ \mathrm {I^{-}} &amp	\mathrm {\to H_{2}O} &amp	+\ \mathrm {IO-} \\\mathrm {H_{2}O_{2}} &amp	+\ \mathrm {IO^{-}} &amp	\mathrm {\to H_{2}O} &amp	+\ \mathrm {O_{2}\uparrow } &amp	+\ \mathrm {I-} \\\hline \mathrm {2H_{2}O_{2}} &amp	&amp	\mathrm {\to 2H_{2}O} &amp	+\ \mathrm {O2\uparrow } &amp	&amp	\Delta _{\mathrm {r} }H^{\circ }=-196{\text{ kJ/mol}}\end{array}}} 														
conservation of energy 	0	 {\displaystyle f(x)=b^{x}} 																										
conservation of energy 	0	 {\displaystyle X_{T}=C+\mu RX} 																										
conservation of energy 	0	 {\displaystyle \	_{j}\phi _{k}\left[{\begin{matrix}a_{1}&amp	a_{2}&amp	\ldots &amp	a_{j}\\b_{1}&amp	b_{2}&amp	\ldots &amp	b_{k}\end{matrix}}	q,z\right]=\sum _{n=0}^{\infty }{\frac {(a_{1},a_{2},\ldots ,a_{j}	q)_{n}}{(b_{1},b_{2},\ldots ,b_{k},q	q)_{n}}}\left((-1)^{n}q^{n \choose 2}\right)^{1+k-j}z^{n}} 																
conservation of energy 	0	 {\displaystyle I_{diode}={\dfrac {U_{IN}-U_{OUT}}{R_{\Omega }}}} 																										
conservation of energy 	0	 {\displaystyle c^{2}=a^{2}+b^{2}} 																										
conservation of energy 	0	 {\displaystyle \Delta (T=0)=1.764\,k_{B}T_{c}} 																										
conservation of energy 	0	 {\displaystyle d\left(x,y\right)=0\Leftrightarrow x=y} 																										
conservation of energy 	0	 {\displaystyle \mathbb {R} ^{4}} 																										
conservation of energy 	0	 {\displaystyle {\frac {\mathrm {d} a}{\mathrm {d} N}}=C(\Delta K)^{m}} 																										
conservation of energy 	0	 {\displaystyle {\vec {F}}={\frac {\mathrm {d} {\vec {p}}}{\mathrm {d} t}}} 																										
conservation of energy 	0	 {\displaystyle {\vec {\tau }}=I{\vec {\alpha }}} 																										
conservation of energy 	0	 {\displaystyle \nabla \cdot \mathbf {E} ={\frac {\rho }{\varepsilon _{0}}},\ \nabla \cdot \mathbf {B} =0,\ \nabla \times \mathbf {E} =-{\frac {\partial \mathbf {B} }{\partial t}},\ \nabla \times \mathbf {B} =\mu _{0}\left(\mathbf {J} +\varepsilon _{0}{\frac {\partial \mathbf {E} }{\partial t}}\right)} 																										
conservation of energy 	0	 {\displaystyle (x+y)^{n}=\sum _{k=0}^{n}{n \choose k}x^{n-k}y^{k}} 																										
conservation of energy 	0	 {\displaystyle {\frac {v^{2}}{2}}+\Psi +{\frac {p}{\rho }}=C} 																										
conservation of energy 	0	 {\displaystyle J\mathbf {f} (M)={\begin{pmatrix}{\dfrac {\partial f_{1}}{\partial x_{1}}}(M)&amp	\cdots &amp	{\dfrac {\partial f_{1}}{\partial x_{n}}}(M)\\\vdots &amp	\ddots &amp	\vdots \\{\dfrac {\partial f_{m}}{\partial x_{1}}}(M)&amp	\cdots &amp	{\dfrac {\partial f_{m}}{\partial x_{n}}}(M)\end{pmatrix}}} 																				
conservation of energy 	0	 {\displaystyle \left(a_{1},\ldots ,a_{n}\right)=((a_{1},\ldots ,a_{n-1}),a_{n})} 																										
conservation of energy 	0	 {\displaystyle \zeta ={\frac {c}{2{\sqrt {mk}}}}} 																										
conservation of energy 	0	 {\displaystyle {\begin{aligned}x&amp	Fehler:533	Fehler:539																								
conservation of energy 	0	 {\displaystyle E^{2}=p^{2}c^{2}+m^{2}c^{4}} 																										
conservation of energy 	0	 {\displaystyle \mathbb {R} ^{3}} 																										
conservation of energy 	0	 {\displaystyle T={\tfrac {1}{2}}ab} 																										
conservation of energy 	0	 {\displaystyle G_{\mu \nu }+\Lambda g_{\mu \nu }={8\pi G \over c^{4}}T_{\mu \nu }} 																										
conservation of energy 	0	 {\displaystyle \mathbf {s} =\mathbf {v} t} 																										
conservation of energy 	0	 {\displaystyle P=\sigma \varepsilon AT^{4}} 																										
conservation of energy 	0	 {\displaystyle {\mathit {TPR}}={\mathit {TP}}/P={\mathit {TP}}/({\mathit {TP}}+{\mathit {FN}})} 																										
conservation of energy 	0	 {\displaystyle d\left(x,y\right)=d(y,x)} 																										
conservation of energy 	0	 {\displaystyle {\mbox{ch}}(f_{\mbox{!}}{\mathcal {F}}^{\bullet }){\mbox{td}}(Y)=f_{*}({\mbox{ch}}({\mathcal {F}}^{\bullet }){\mbox{td}}(X))} 																										
conservation of energy 	0	 {\displaystyle B={F \over {I\ell }}} 																										
conservation of energy 	0	 {\displaystyle y=f(a)+f'(a)(x-a)} 																										
conservation of energy 	0	 {\displaystyle v(t)=-gt+v_{0}} 																										
conservation of energy 	0	 {\displaystyle \operatorname {arctg} x+\operatorname {artcctg} x=\pi /2} 																										
conservation of energy 	0	 {\displaystyle {\begin{array}{c|c}\mathbf {c} &amp	A\\\hline &amp	\mathbf {b^{T}} \\\end{array}}={\begin{array}{c|cccc}c_{1}&amp	a_{11}&amp	a_{12}&amp	\dots &amp	a_{1s}\\c_{2}&amp	a_{21}&amp	a_{22}&amp	\dots &amp	a_{2s}\\\vdots &amp	\vdots &amp	\vdots &amp	\ddots &amp	\vdots \\c_{s}&amp	a_{s1}&amp	a_{s2}&amp	\dots &amp	a_{ss}\\\hline &amp	b_{1}&amp	b_{2}&amp	\dots &amp	b_{s}\\&amp	b_{1}^{*}&amp	b_{2}^{*}&amp	\dots &amp	b_{s}^{*}\\\end{array}}} 
conservation of energy 	0	 {\displaystyle {\vec {F}}=m{\vec {g}}} 																										
conservation of energy 	0	 {\displaystyle F=kX} 																										
conservation of energy 	0	 {\displaystyle (a_{1},a_{2},\ldots ,a_{m}	q)_{n}=(a_{1}	q)_{n}(a_{2}	q)_{n}\ldots (a_{m}	q)_{n}} 																						
conservation of energy 	0	 {\displaystyle \partial _{[\alpha }F_{\beta \gamma ]}=0,\partial _{\alpha }F^{\alpha \beta }=\mu _{0}J^{\beta }} 																										
conservation of energy 	0	 {\displaystyle (t,\mathbf {x} )\mapsto (t+s,{\mathsf {R}}\mathbf {x} +\mathbf {v} t+\mathbf {y} )} 																										
conservation of energy 	0	 {\displaystyle G=\pi _{1}(X)/p_{*}(\pi _{1}(C))} 																										
conservation of energy 	0	 {\displaystyle r=\sum _{i=0}^{\infty }{\frac {a_{i}}{10^{i}}}} 																										
conservation of energy 	0	 {\displaystyle \mathrm {gross} =\mathrm {tare} +\mathrm {net} } 																										
conservation of energy 	0	 {\displaystyle \psi (x,t)=A\cos(kx-\omega t+\varphi )} 																										
conservation of energy 	0	 {\displaystyle \mathrm {gross} =\mathrm {tare} +\mathrm {net} } 																										
conservation of energy 	0	 {\displaystyle \sigma ={\frac {dF}{dA}}} 																										
conservation of energy 	0	 {\displaystyle F=C-P+2} 																										
