Name 	Score	 Formula 	 Mode 	 Identifiers 
acceleration	1	v=v_{0}+at (Acceleration.html)	1	'[''a'', ''v'', ''t'']'
centripetal acceleration	1	~{}a=v^{2}/r~{} (astro-ph0203007.tei)	4	'[''a'', ''v'', ''r'']'
centripetal force	2	F_{c}=\frac{m\ v^{2}}{r} (Christiaan_Huygens.html)	1	'[''F'', ''m'', ''v'', ''r'', ''r'']'
centripetal force	0	\forall a,b\in X,\ R(a,b)\and R(b,a)\;\Rightarrow\;a=b (Antisymmetric_relation.html)	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	\alpha:=m^{2}a^{2}/(4M^{2}r_{+}^{2}) (astro-ph0008236.tei)	5	'{''force'': [''a''], ''mass'': [''m''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	r=M+\sqrt{M^{2}-a^{2}\cos^{2}\theta}\,\,, (astro-ph0008236.tei)	6	'{''force'': [''a''], ''mass'': [''M'', ''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
conservation of energy	0	|a|=\sqrt{a^{2}} (Absolute_value.html)	3	'{''energy'': [''a'']}'
conservation of energy	0	E=0 (astro-ph0602117.tei)	4	'[''E'']'
conservation of energy	0	E=0 (astro-ph0602117.tei)	5	'{''energy'': [''E'']}'
conservation of energy	0	\dot{a}=0 (astro-ph0305457.tei)	6	'{''energy'': [''a'']}'
conservation of momentum	0	'\scriptstyle p\;=\;5 (Amdahl''s_law.html)'	1	'[''p'']'
conservation of momentum	0	|a|=\sqrt{a^{2}} (Absolute_value.html)	2	'{''momentum'': [''a'']}'
conservation of momentum	0	|a|=\sqrt{a^{2}} (Absolute_value.html)	3	'{''momentum'': [''a'']}'
conservation of momentum	0	p=0 (astro-ph9803029.tei)	4	'[''p'']'
conservation of momentum	0	\dot{a}=0 (astro-ph0305457.tei)	5	'{''momentum'': [''a'']}'
conservation of momentum	0	p=0 (astro-ph9803029.tei)	6	'{''momentum'': [''p'']}'
elastic energy	2	U=\frac{1}{2}kx^{2}. (Harmonic_oscillator.html)	1	'[''U'', ''k'', ''x'']'
electromagnetic force	2	\vec{F}=q(\vec{E}+\vec{v}\times\vec{B}) (Force.html)	1	'[''F'', ''q'', ''E'', ''v'', ''B'']'
energy-momentum relation	2	\frac{E^{2}}{c^{2}}-p^{2}=m^{2}c^{2} (Dirac_equation.html)	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	0	s=v_{0}t+\frac{1}{2}at^{2}=\frac{v_{0}+v}{2}t (Acceleration.html)	3	'{''energy'': [''a''], ''momentum'': [''a''], ''speed of light'': [''v''], ''mass'': [''a'']}'
energy-momentum relation	2	E^{2}=m^{2}c^{2}+p^{2}c^{4} (astro-ph0212190.tei)	4	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	0	a,b,c\ldots=0,1,2,3 (astro-ph0002434.tei)	6	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
four-momentum	1	E=pc\,. (Momentum.html)	1	'[''p'', ''E'', ''c'']'
four-momentum	0	v(ab)=v(a)v(b) (Absolute_value.html)	3	'{''momentum'': [''a''], ''energy'': [''a''], ''speed of light'': [''v'']}'
four-momentum	1	E^{2}-c^{2}p^{2}=0 (astro-ph0302372.tei)	4	'[''p'', ''E'', ''c'']'
