Name 	Score	 Formula 	 Mode(new) 	 Mode(old) 	 Identifiers 
acceleration	1	v=v_{0}+at (Acceleration.html)	11	1	'[''a'', ''v'', ''t'']'
acceleration	1	v=v_{0}+at\, (List_of_equations_in_classical_mechanics.html)	11	1	'[''a'', ''v'', ''t'']'
centripetal acceleration	2	~{}a=v^{2}/r~{} (astro-ph0203007.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal acceleration	1	a=v^{2}/r (astro-ph0403324.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal acceleration	1	v=a\,r (astro-ph0406622.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal acceleration	0	\displaystyle v-v^{\prime}=ar-\frac{a^{2}r^{2}}{3v}+\frac{a^{3}r^{3}}{27v^{2}}\,. (astro-ph0603572.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal acceleration	0	\displaystyle v_{a}(r)=-{1\over r}\quad\mbox{for}\;r\geq a (astro-ph9807048.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal acceleration	0	\displaystyle v_{a}(r)=+{1\over a}\quad\mbox{for}\;r\leq a (astro-ph9807048.tei)	12	4	'[''a'', ''v'', ''r'']'
centripetal force	2	F_{c}=\frac{m\ v^{2}}{r} (Christiaan_Huygens.html)	11	1	'[''F'', ''m'', ''v'', ''r'', ''r'']'
centripetal force	2	F_{C}={mv^{2}\over r}\; (Cyclotron.html)	11	1	'[''F'', ''m'', ''v'', ''r'', ''r'']'
centripetal force	0	\forall a,b\in X,\ R(a,b)\and R(b,a)\;\Rightarrow\;a=b (Antisymmetric_relation.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''R'']}'
centripetal force	0	r=a+b\theta^{1/c}. (Archimedean_spiral.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
centripetal force	0	y=a\,\cosh\left({x\over a}\right)={a\over 2}\,\left(e^{x/a}+e^{-x/a}\right)\, (Catenary.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	x=\sum_{i=1}^{k}a_{i}e_{i} (Chinese_remainder_theorem.html)	8	3	'{''force'': [''a''], ''mass'': [''i'', ''a''], ''velocity'': [''e'', ''a''], ''unit vector'': [''a''], ''radius'': [''e'']}'
centripetal force	0	\left(x-a\right)^{2}+\left(y-b\right)^{2}=r^{2}. (Circle.html)	8	3	'{''force'': [''a''], ''mass'': [''a''], ''velocity'': [''a''], ''unit vector'': [''a''], ''radius'': [''r'']}'
